lr-AdamW,step,val_loss,validation_epoch_average,epoch,train_epoch_average
0.001,0,,,,
,8,0.4663105104181855,0.46045991750522963,0,
,8,,,0,0.6376421749608947
0.0009755527298894294,9,,,,
,17,0.8414835849948956,0.6419549089015263,1,
,17,,,1,0.5414194467652498
0.0009046039886902864,18,,,,
,26,0.9285076113709415,0.7368363732351401,2,
,26,,,2,0.4902185990255092
0.0007940987335200905,27,,,,
,35,0.99534756286359,0.7920418444335848,3,
,35,,,3,0.43793973297774486
0.0006548539886902864,36,,,,
,44,0.4720597082493402,0.7343089342857749,4,
,44,,,4,0.4230247543293377
0.0005005000000000001,45,,,,
,53,0.49981664275871834,0.6933724501231923,5,
,53,,,5,0.39501405292996233
0.0003461460113097139,54,,,,
,62,0.42848869679532386,0.6545719753464841,6,
,62,,,6,0.3669584565798628
0.00020690126647990976,63,,,,
,71,0.34965190541788616,0.615021121958726,7,
,71,,,7,0.3526331228798315
9.639601130971382e-05,72,,,,
,80,0.5444470384927231,0.6069290149100249,8,
,80,,,8,0.3315061730757342
2.5447270110570814e-05,81,,,,
,89,0.5264680415697829,0.6021994870636381,9,
,89,,,9,0.3129568922821594
1e-06,90,,,,
,98,0.516698471337567,0.5937571156935609,10,
,98,,,10,0.3003312776789315
2.5447270110570814e-05,99,,,,
,107,0.38022652733849577,0.575948247004111,11,
,107,,,11,0.2901898807012748
9.639601130971418e-05,108,,,,
,116,0.5801873329231888,0.5755583303915245,12,
,116,,,12,0.28037624877802103
0.00020690126647991054,117,,,,
,125,0.6219168572205609,0.5809246442383427,13,
,125,,,13,0.26716885868738177
0.0003461460113097153,126,,,,
,134,0.3551393563021797,0.5648993554093601,14,
,134,,,14,0.2609221725954498
0.0005005000000000021,135,,,,
,143,0.6552265122262844,0.5702345890443778,15,
,143,,,15,0.25800049252848783
0.0006548539886902891,144,,,,
,152,0.7799990182353199,0.5818100837299693,16,
,152,,,16,0.250152503364278
0.0007940987335200938,153,,,,
,161,1.6485255094848683,0.6450695878104772,17,
,161,,,17,0.2453590667306858
0.0009046039886902903,162,,,,
,170,0.6817256994210134,0.6459086513342144,18,
,170,,,18,0.24361699612146293
0.0009755527298894335,171,,,,
,179,1.708752000924199,0.7043042761721998,19,
,179,,,19,0.2442040563722395
0.0010000000000000041,180,,,,
,188,0.6277441918087596,0.6999077292634637,20,
,188,,,20,0.24690011174806215
0.0009755527298894334,189,,,,
,197,0.8880130049017522,0.7076884496431097,21,
,197,,,21,0.24997414043344307
0.0009046039886902904,198,,,,
,206,0.6859666502566498,0.7055812572753505,22,
,206,,,22,0.24675292125385323
0.0007940987335200938,207,,,,
,215,0.4840330101685101,0.696976705464529,23,
,215,,,23,0.24674264215215663
0.0006548539886902891,216,,,,
,224,0.5903416731244883,0.6945698406070145,24,
,224,,,24,0.24246879753446585
0.0005005000000000021,225,,,,
,233,0.800957685877096,0.6986679519753131,25,
,233,,,25,0.24012623127774305
0.00034614601130971535,234,,,,
,242,0.3192511522055334,0.6850898891403624,26,
,242,,,26,0.23682454080286894
0.00020690126647991062,243,,,,
,251,0.3413118436387974,0.6724259036885656,27,
,251,,,27,0.23052084068159107
9.639601130971425e-05,252,,,,
,260,0.5168931921055634,0.6673963783180988,28,
,260,,,28,0.2263011550380126
2.5447270110570967e-05,261,,,,
,269,0.5285541458685618,0.6623749137867708,29,
,269,,,29,0.22193776563686976
